id,model_type,model_id,action,user_id,changes,created_at,updated_at
1,"App\Models\Expense",2428,created,1,"{""id"": 2428, ""tax"": ""0"", ""date"": ""2026-04-04 00:00:00"", ""price"": ""370"", ""total"": 370, ""quantity"": ""1"", ""created_at"": ""2026-04-04 10:07:35"", ""updated_at"": ""2026-04-04 10:07:35"", ""currency_id"": ""3"", ""description"": ""Green Salad’ta körili tavuk"", ""paid_by_others"": false, ""stakeholder_id"": null, ""company_expense"": true, ""expense_type_id"": null}","2026-04-04 10:07:35","2026-04-04 10:07:35"
2,"App\Models\Expense",2428,updated,1,"{""date"": ""2026-04-03 00:00:00"", ""expense_type_id"": ""2""}","2026-04-04 10:08:15","2026-04-04 10:08:15"
3,"App\Models\Income",147,created,1,"{""id"": 147, ""date"": ""2026-04-03 00:00:00"", ""amount"": ""200"", ""user_id"": ""1"", ""created_at"": ""2026-04-04 17:44:36"", ""updated_at"": ""2026-04-04 17:44:36"", ""currency_id"": ""1"", ""description"": ""Babamla 2 ufak işin yevmiyesi."", ""income_type_id"": ""6"", ""income_source_id"": ""9""}","2026-04-04 17:44:36","2026-04-04 17:44:36"
4,"App\Models\Expense",2428,updated,1,"{""currency_id"": ""1""}","2026-04-04 17:45:00","2026-04-04 17:45:00"
5,"App\Models\Expense",2429,created,1,"{""id"": 2429, ""tax"": ""533.4"", ""date"": ""2026-04-04 00:00:00"", ""price"": ""3200.4"", ""total"": 3733.8, ""quantity"": ""1"", ""created_at"": ""2026-04-04 18:06:21"", ""updated_at"": ""2026-04-04 18:06:21"", ""currency_id"": ""1"", ""description"": ""50,8lt x 63,0₺"", ""paid_by_others"": false, ""stakeholder_id"": ""1"", ""company_expense"": true, ""expense_type_id"": ""1""}","2026-04-04 18:06:21","2026-04-04 18:06:21"
6,"App\Models\Expense",2430,created,1,"{""id"": 2430, ""tax"": ""0"", ""date"": ""2026-04-02 00:00:00"", ""price"": ""460"", ""total"": 460, ""quantity"": ""1"", ""created_at"": ""2026-04-04 18:17:18"", ""updated_at"": ""2026-04-04 18:17:18"", ""currency_id"": ""1"", ""description"": ""Milonga giriş ücreti. Kartla çektikleri için 60₺ fark koydular."", ""paid_by_others"": false, ""stakeholder_id"": ""2"", ""company_expense"": false, ""expense_type_id"": ""21""}","2026-04-04 18:17:19","2026-04-04 18:17:19"
7,"App\Models\Income",148,created,1,"{""id"": 148, ""date"": ""2026-04-04 00:00:00"", ""amount"": ""699.99"", ""user_id"": 1, ""created_at"": ""2026-04-04 18:43:22"", ""updated_at"": ""2026-04-04 18:43:22"", ""currency_id"": ""1"", ""description"": ""https://catimusic.net/ 1 yıllık Hosting ücreti. 01/04/2026 - 31/03/2027"", ""income_type_id"": ""12"", ""income_source_id"": ""11""}","2026-04-04 18:43:22","2026-04-04 18:43:22"
8,"App\Models\Expense",2431,created,1,"{""id"": 2431, ""tax"": ""0"", ""date"": ""2026-04-03 00:00:00"", ""price"": ""381.23"", ""total"": 381.23, ""quantity"": ""1"", ""created_at"": ""2026-04-04 19:58:30"", ""updated_at"": ""2026-04-04 19:58:30"", ""currency_id"": ""1"", ""description"": ""Market alışverişi."", ""paid_by_others"": false, ""stakeholder_id"": ""4"", ""company_expense"": false, ""expense_type_id"": ""8""}","2026-04-04 19:58:30","2026-04-04 19:58:30"
9,"App\Models\Expense",2432,created,1,"{""id"": 2432, ""tax"": ""33.64"", ""date"": ""2026-04-04 00:00:00"", ""price"": ""370"", ""total"": 403.64, ""quantity"": ""1"", ""created_at"": ""2026-04-04 20:04:07"", ""updated_at"": ""2026-04-04 20:04:07"", ""currency_id"": ""1"", ""description"": ""Körili tavuk."", ""paid_by_others"": false, ""stakeholder_id"": ""5"", ""company_expense"": true, ""expense_type_id"": ""2""}","2026-04-04 20:04:07","2026-04-04 20:04:07"
10,"App\Models\Income",149,created,1,"{""id"": 149, ""date"": ""2026-04-04 00:00:00"", ""amount"": ""800"", ""user_id"": 1, ""created_at"": ""2026-04-04 22:31:47"", ""updated_at"": ""2026-04-04 22:31:47"", ""currency_id"": ""1"", ""description"": ""Çatı Müzik grubu için rezervasyon sistemi tasarımı."", ""income_type_id"": null, ""income_source_id"": ""11""}","2026-04-04 22:31:47","2026-04-04 22:31:47"
11,"App\Models\Income",149,updated,1,"{""income_type_id"": ""23""}","2026-04-04 22:32:14","2026-04-04 22:32:14"
