id,owner,adage,keywords,language,created_at,updated_at
1,"Mahir Yıldızhan","Farkına var, dengeyi bul, değer üret.","Yaşam, Farkındalık",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
2,"Gabriel Garcí­a Márquez","Kimse senin gözyaşlarını hak etmiyor hak eden seni ağlatmaz zaten.",Farkındalık,1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
3,Anonim,"İnanç, görünmeyene inanmaktır. Görünmeyene inanırsanız, başkalarının görmediklerini görürsünüz.","Yaşam, İnanç",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
5,Anonim,"Yıldızlara dokunamazsınız, ama karanlık gecelerde onlar size yol gösterir.","Yaşam, Amaç, Hedef",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
6,"Jacques A. Bertrand","Hayat bir panayırdır; biraz hüzünlü, biraz neşeli, biraz tehlikeli,biraz cömert, biraz tesadüfi, biraz kırık.",Yaşam,1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
8,"Charlie Chaplin","Gülmek hayatın en güzel eylemidir. Ve her ne varsa sizi bundan alıkoyan, onları yok edin.","Yaşam, Mutluluk",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
9,"Hz. Muhammed (s.a.v.) (Buhârî, Rikâk, 1)","İki nimet vardır ki insanların çoğu onlar(ı değerlendirme) hususunda aldanmıştır: Sağlık ve boş vakit.","zaman, sağlık, farkındalık,",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
10,"Walter Scott","Son uyku mu? Hayır, ölüm son uyanıştır.","yaşam, ölüm, uyku, uyanış",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
12,"Friedrich Nietzsche","Öyle kolay bir saat değildir uyumak; onun uğruna, bütün gün uyanık durmak gerekir.","uyku, verimlilik, gün, uyanmak",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
13,"Albert Einstein","Uyku sorunu zeki insanların lanetidir.","uyku, zeka",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
14,"Sâdi Carnot","Uyanık bir tek adam, uyuyan yüz bin kişiden daha kuvvetlidir.","uyku, uyanıklık, aydınlanma, kuvvet",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
16,"Andre Gide","En güzel uyku bile, uyanılan anın değerine ulaşamaz.","uyku, uyanmak, değer",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
20,Anonim,"Öldüğüm zaman mezar taşında ""Ücretsiz Wifi"" yazmasını istiyorum; böylece insanlar ziyaretime daha sık gelebilir.","Bilinç, Düşünce, Farkındalık, Gelecek, Varoluş, Yaşam, İletişim, İnanç",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
25,Aristoteles,"Bir fikri kabul etmeden onunla oyalanmak eğitimli bir zihnin işaretidir.","Bilgelik, Bilinç, Farkındalık",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
27,Kanada,"Sebep, oluşun nedenidir.","Neden, Varoluş",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
28,Kanada,"Mutlak bir dinlenme haline çekilemiyorsam, hareketin doğasına zincirlenmiş durumdayım.","Farkındalık, Hareket, Yaşam",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
29,"Oscar Wilde","Dostun üzüntüsüne acı duyabilirsin. Bu kolaydır; ama dostun başarısına sempati duyabilmek, sağlam bir karakter gerektirir.","Dürüstlük, Fedakarlık, Mutluluk",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
31,"Mevlânâ Celâleddîn-i Rûmî","Kusur arıyorsan tüm aynalar senin.","Farkındalık, Mutluluk",1,"2022-05-02 20:33:03","2023-03-15 18:00:26"
32,"Walter Lippmann","Herkes aynı şeyi düşünüyorsa, hiç kimse bir şey düşünmüyor demektir.","Farkındalık, Gelişim, Yaşam",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
33,"Bill Nye","Tanıştığın herkes senin bilmediğin bir şey biliyor.","Bilgelik, Farkındalık, Merak",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
34,Epiktetos,"İki kulağımız ve sadece bir ağzımız vardır, o yüzden bir konuşup iki dinlemeliyiz.","Bilgelik, Farkındalık, İletişim",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
35,"Mark Twain","Gerçeği söylersen, aklında bir şey tutmana gerek kalmaz.","Dürüstlük, Mutluluk",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
36,"Marshall B. Rosenberg","Haklı olmayı mı tercih edersin, mutlu olmayı mı?","Bilgelik, Mutluluk, İletişim",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
37,"Konrad Lorenz","Düşünce her zaman söylenmez, söylenenler her zaman duyulmaz. Duyulan, her zaman anlaşılmaz, anlaşılan her zaman kabul edilmez. Kabul edilen her zaman yapılmaz, yapılan her zaman tekrar edilmez.",İletişim,1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
38,"Fyodor Dostoyevski","Korkunun doğuracağı ilk şey, yalandır.","Cesaret, Korku, Yaşam",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
39,"Winston Churchill","Çene çalmak her zaman savaşmaktan daha iyidir.","Barış, İletişim",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
40,"Frederick Douglass","Sorunlu insanları düzeltmek yerine, güçlü çocuklar yetiştirmek daha kolaydır.","Amaç, Gelecek, Yaşam",1,"2022-05-02 20:33:04","2022-05-02 20:33:04"
