id,name,government_acceptance_percentage,created_at,updated_at
1,Fuel,70,"2026-04-02 01:39:34","2026-04-02 01:39:34"
2,Meal,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
3,Gida,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
4,Ulasim,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
5,Konaklama,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
6,Yazilim,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
7,Diger,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
8,Market,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
9,Collection,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
10,Rent,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
11,Bill,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
12,Health,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
13,Parking,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
14,Transportation,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
15,Benefaction,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
16,Savings,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
17,Alcohol,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
18,Coffee,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
19,Barber,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
20,"Tax-Penalty Charge",100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
21,Hobby,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
22,Clothes,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
23,Accommodation,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
24,Bills,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
25,Electronic,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
26,Women,100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
27,"Digital Asset",100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
28,"Electrical Material",100,"2026-04-02 01:39:34","2026-04-02 01:39:34"
29,Stationary,100,"2026-04-20 20:24:45","2026-04-20 20:24:45"
