id,name,slug,created_at,updated_at
1,Siyah,siyah,"2026-04-02 01:39:31","2026-04-02 01:39:31"
2,Kahverengi,kahverengi,"2026-04-02 01:39:31","2026-04-02 01:39:31"
3,Sari,sari,"2026-04-02 01:39:31","2026-04-02 01:39:31"
4,Kizil,kizil,"2026-04-02 01:39:31","2026-04-02 01:39:31"
5,Brown,brown,"2026-04-02 01:39:32","2026-04-02 01:39:32"
6,Black,black,"2026-04-02 01:39:32","2026-04-02 01:39:32"
7,Auburn,auburn,"2026-04-02 01:39:32","2026-04-02 01:39:32"
8,"Medium Blonde",medium-blonde,"2026-04-02 01:39:32","2026-04-02 01:39:32"
9,White,white,"2026-04-02 01:39:32","2026-04-02 01:39:32"
10,Orange,orange,"2026-04-02 01:39:32","2026-04-02 01:39:32"
