id,migration,batch
1,0001_01_01_000000_create_users_table,1
2,0001_01_01_000001_create_cache_table,1
3,0001_01_01_000002_create_jobs_table,1
4,0001_01_01_000003_create_personal_access_tokens_table,1
5,0001_01_01_000010_create_genders_table,1
6,0001_01_01_000011_create_eye_colors_table,1
7,0001_01_01_000012_create_blood_types_table,1
8,0001_01_01_000013_create_hair_colors_table,1
9,0001_01_01_000014_create_post_categories_table,1
10,0001_01_01_000015_create_post_languages_table,1
11,0001_01_01_000016_create_income_sources_table,1
12,0001_01_01_000017_create_income_types_table,1
13,0001_01_01_000018_create_currencies_table,1
14,0001_01_01_000019_create_expense_types_table,1
15,0001_01_01_000020_create_interaction_types_table,1
16,0001_01_01_000025_create_settings_table,1
17,0001_01_01_000030_create_stakeholders_table,1
18,0001_01_01_000040_create_people_table,1
19,0001_01_01_000050_create_posts_table,1
20,0001_01_01_000060_create_comments_table,1
21,0001_01_01_000070_create_expenses_table,1
22,0001_01_01_000080_create_incomes_table,1
23,0001_01_01_000090_create_interactions_table,1
24,0001_01_01_000100_create_nodes_table,1
25,0001_01_01_000110_create_node_connections_table,1
26,0001_01_01_000120_create_timeline_events_table,1
27,0001_01_01_000130_create_adages_table,1
28,0001_01_01_000140_create_subscribers_table,1
29,0001_01_01_000150_create_links_table,1
30,0001_01_01_000160_create_activity_logs_table,1
31,2026_03_22_000001_add_government_acceptance_percentage_to_expense_types_table,1
32,2026_03_22_000002_create_media_table,1
33,2026_03_22_000003_add_cover_media_id_to_posts_table,1
34,2026_03_23_000001_add_variant_metadata_to_media_table,1
