id,category_id,language_id,user_id,title,slug,excerpt,body,cover,cover_media_id,seo_title,seo_description,seo_keywords,canonical_url,og_image,schema_type,reading_time,word_count,view_count,unique_view_count,share_count,like_count,save_count,status,published_at,publish_date,published,deleted_at,created_at,updated_at
1,1,1,1,"9 Mart 2021 Dünya Kadınlar Gününü Unutma Günü",9-mart-2021-dunya-kadinlar-gununu-unutma-gunu,,"<p class=""py-4"">Dışarıdan bakan bir insan için, benim mizacım 'duygusuz' olarak görülüyor. Bunun sebeplerinden biri, özel günlere çok değer vermemek. Peki bu beni diğer insanlara nazaran gerçekten duygusuz yapar mı? İşin kötü tarafı, ya da ilginç tarafı diyelim, bu gibi soyut kavramları ölçmenin bir yolu yok. Diyelim ki, ben annemi özel günlerde ya da daha sık arıyorumdur. Bu kimilerine göre çok sık, kimilerine göre çok seyrek olabilir. Peki ya özel günlerde ekstra efor sarf etmek?</p>

<p class=""py-4"">Ben gerçekten, konu ne olursa olsun, düzenli ve istikrarlı olmasından yanayım. Tabi ki küçük istisnalar olabilir. Ancak dünya kadınlar günü, doğum günü gibi sebeplerden bir şeyler yapmanın, samimiyetsiz ve değersiz olduğunu düşünüyorum. Dün ve önceki gün bir çok kişi, farkındalık yarattıklarını düşünerek, milyonlarca paylaşımda bulundu. Peki ya bugün? Bugün kimsenin hatırladığını bile sanmıyorum. Çünkü özel gün geçti, hayat meşgalesine devam. Ta ki bir sonraki özel güne kadar.</p>

<p class=""py-4"">Bence, siz başlıktan ve serzenişlerimden mesajı aldınız. Mühim olan bir gün değil, her zaman değer verdiğiniz insanlara verdiğiniz değerleri göstermek. Farkındalığımızı bir güne sıkıştırmak yerine, her daim kadına olan haksızlıkların farkında olabilmek. Konu sadece kadınlar da değil ama yine de bunun üzerine geldiği için paylaşmak istedim.</p>

<img class='h-auto w-full my-2 py-4 shadow-md' alt='Dünya Popülasyonu' src='/assets/img/posts/9-mart-2021-dunya-kadinlar-gununu-unutma-gunu.png'>

<p class=""py-4"">Eşitlik konusunda aslında dünya nüfusunun, cinsiyete bağlı dağılımı bize net bir şey gösteriyor. Bu vesileyle herkesin “9 Mart Dünya Kadınlar Gününü Unutma Günü” kutlu olsun. Farkında olun, neden diye sorun ve dengeyi bulun…</p>",9-mart-2021-dunya-kadinlar-gununu-unutma-gunu.png,,,,,,,Article,,,1483,36,0,0,0,draft,,2021-03-09,1,,"2021-08-14 23:00:00","2026-04-23 19:19:49"
2,1,1,1,"Cumhuriyet Dönemi Banknotları",cumhuriyet-donemi-banknotlari,,"<p class=""py-4"">2021 yılı için kendime belirlediğim hedeflerden bir tanesi de yaptığım Türk Lirası Cumhuriyet Dönemi Türk Lirası Banknot Koleksiyonu için bir kitap yazmaktı. Bu hedef doğrultusunda çeşitli kaynaklardan bilgiler toplamaya başladım. Aynı zamanda TCMB resmi sitesi üzerinden emisyon ve tertip bilgilerini de kataloglamaya başladım. Bir sonraki adım uluslar arası kitap numarası olan ISBN almak. Bunun için e-devlet (turkiye.gov.tr) üzerinden Kültür ve Turizm Bakanlığının hizmetlerinden kolaylıkla başvuru yapılabiliyor. Benim ki gibi çevrim içi yayınlamayı planladığınız kaynaklar için başvuru esnasında sizden kitabı yayınlayacağınız bir bağlantı istiyorlar. Bende kitabım çıktığı zaman bu blog üzerinden yayınlamayı planladığım için bu sayfayı oluşturdum. Kitabım yayınlandığında sizlerle de paylaşıyor olacağım.</p>

<p class=""py-4"">[28.02.2021 Güncelleme] Bugün e-devlet üzerinden kontrol ettiğimde ISBN başvurumun onaylandığını gördüm. Gerçekten çok mutlu oldum. Bu kolaylık için Kültür ve Turizm Bakanlığı'na çok teşekkürler. Süreçle ilgili tek geri bildirimim, keşke onay aldığımda bir mail bilgilendirmesi alsaydım. Ama olsun. Şimdi geriye kalan tek şey, kitabın içeriğini tamamlamak.</p>

<p class=""py-4"">[08.03.2021 Güncelleme] Bugün kitap için gerekli ön kapak tasarımımı da tamamladım. Gün geçtikçe bir şeylerin oluştuğunu görmek çok heyecan verici. :) </p>

<img class=""h-auto w-full my-2 py-4 shadow-md"" src=""/assets/img/posts/tl-kitap-kapak.jpg""></img>",cumhuriyet-donemi-banknotlari.png,,,,,,,Article,,,945,18,0,0,0,draft,,2021-02-23,1,,"2021-08-14 23:00:00","2026-04-23 18:51:16"
3,1,1,1,"CRISPR CAS9 Nedir?",crispr-cas9-nedir,,"<p class=""my-3 mx-1"">60’lı yıllarda bilim insanları bitkiler üzerinde bazı deneyler gerçekleştirdi. Rastgele radyasyona maruz kalan bitkiler yine rastgele mutasyonlara uğradı. Amaç daha verimli bitkiler ve mamüller elde etmekti. Bazı durumlarda işe de yaradı. 1970’lerde iş hayvanlar üzerinde denemelere gelmişti. Ve ilk genetiği değiştirilmiş fareler 1974 yılında bilimin denemeler yapmak için kullacağı standart bir canlı haline getirildi. Bu da bir çok yaşamın kurtarılmasına yardımcı oldu. 1994 yılında ilk genetiği değiştirilmiş domatesler piyasaya sürüldü. Bunlar ekstra enzimler ile raf ömrü uzatılmış domateslerdi. Aynı zamanda 90’larda insan embriyoları üzerinde çalışmalarda başladı. İlk 3 kişiden genetik bilgi taşıyan bebekler dünyaya geldi. Artık tüm dünyada hızlı büyüyen tavuklar, daha kaslı ve etli domuzlar ve balıklar meydana geldi.</p>

<img class=""object-contain h-auto w-full my-2"" alt=""CAS9 Proteini"" src=""/assets/img/posts/CAS9.png"">

<h1>CRISPR Nedir?</h1>

<p class=""my-3 mx-1"">Tüm bu gelişmelere rağmen hala gen değişiklikleri çok pahalıya ve çok uzun zamana ihtiyaç duyuyordu. Bu durum CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) teknolojisi ile maliyetleri %90’ın üzerinde azalttı ve süresi çok kısalttı. Genetik mühendisliğinin kullandığı bu gen değiştirme tekniği çok eski bir savaşın sayesinde var. Bakteri ve virüsler varlıklarından beri savaşmaktalar. Virüsler saldırdığında genlerinin bir parçasını bakterinin içine bırakırlar. Bakteriler çoğu zaman ölselerde nadiren hayatta kalırlar. Hayatta kalan bakteriler virüse ait bir gen parçasını saklayıp bunu CRISPR adı verilen bir gen arşivinde saklarlar. Virüs tekrar saldırdığında bu DNA arşivinden bir RNA kopyası oluşturur ve Cas-9 proteinine verir. Saldırı anında gelen DNA’larda arşivle eşleşme bulursa bu DNA’yı etkisiz hale getirir. Cas-9’un yaptığı bu işlem hassas bir cerrahi operasyon kadar etkilidir.</p>

<h3>CRISPR Nasıl Çalışır?</h3>

<p class=""my-3 mx-1"">Bilim dünyasında devrim yapan keşif CRISPR’ın programlanabilir olması. Düzeltilmesini istediğiniz bir DNA kopyasını sistemle birlikte yaşayan bir hücreye koymanız yeterli. Bu sayede, yaşayan canlı hücrelerini istediğimiz gibi evrimleştirebiliyor. Ve bu sitem mikro organizmalardan tutun, bitkilere, hayvanlara ve insanlara kadar tüm canlılarda işe yarıyor. Bu gelişmeler 2010’lu yılların başında başladığı için henüz gelişme aşamasında. Bununla birlikte, siz bu satırları okurken bir çok gelişme yaşanmaya devam ediyor.</p>

<h3>Tüm Hastalıkların Sonu Geliyor Mu?</h3>

<p class=""my-3 mx-1"">2015 yılında bilim insanları HIV virüsünü bu teknik ile keserek hücreleri virüsten arındırdı. Yaklaşık 1 yıl sonrasında, vücudunun neredeyse tamamı virüsle kaplı farelerin kuyruklarına enjekte edilen CRISPR ile vücutlarındaki hücrelerin yarıya yakını virüsten temizlendi. Çok yakın bir gelecekte CRISPR sayesinde HIV virüsünden tamamen arınabiliriz. İlave olarak insan DNA’sına saklanmış tüm hastalıklardan bu şekilde kurtulabiliriz. CRISPR sayesinde kansere de çare bulabiliriz. Kanser hücrelerin ölmeyi redderek sürekli çoğalması ile oluşur. Bu teknik ile bağışıklık sistemimizi daha etkili kanser avcılarına çevirebiliriz. 2016 yılının başında Amerika’da yapılan bazı olumlu CRISPR kanser tedavileri bulunmakta. Yine 2016 yılının ortalarında Çin’de CRISPR ile akciğer kanseri tedavileri geliştirildi. Tüm bu gelişmeler ile birlikte DNA kaynaklı ölümcül yada ölümcül olmayan hastalıklardan tamamen kurtulma şansımız var.  3 bine yakın genetik rahatsızlık, gendeki ufak harf bozukluklarından kaynaklanmakta. Sadece tek harf düzeltmeleri yapılabilen Cas-9 çalışmları başladı bile.</p>

<h3>Süper İnsanlar Gerçek Mi Oluyor?</h3>

<p class=""my-3 mx-1"">Tüm bu güzel gelişmelerin tek bir ortak noktası var. Uygulamanın yapıldığı canlı ile birlikte ölüyorlar. Yani gen düzeltmesini yaptığınız kişiye özel çözümler. Bu duruma tek istisna var. Embriyo hücrelerinin genlerinin modifi. Bu sayede süper yapabiliriz. Bu işin etik tarafı da var tabi. Ancak Çin’den gelen son haberler ikiz kızların CRISPR ile doğdukları yönünde. Bu değişiklikler insanları başta çok etkilemeyebilir. Ancak geni değiştirilmiş insanlar gün geçtikçe artarak yepyeni bir süper insan ırkı meydana getirebilir. Bu gelişmeler henüz emekleme aşamasında olsada geleceği şekillendirecek. Eğer Alzheimer’a dayanıklı bir zihniniz olsaydı, daha sağlıklı çalışan organlarda isterdiniz. Daha sağlam kaslar, gelişmiş bir zeka. Bu genleri evlatlarınıza da bırakabilirsiniz. Sonuçta süper insanların oranı gün geçtikçe artacak ve insanlar bir üst seviyeye evrilecekler.</p>

<img class=""object-contain h-auto w-full my-2"" alt=""Süper İnsan"" src=""/assets/img/posts/superH.jpg"">

<h3>Ölümsüzlük Mümkün Mü?</h3>

<p class=""my-3 mx-1"">Bu çalışmaların arkasaından belki de en büyük soru olan yaşlanma geliyor. Süper insanlar geliştirmek yaşlanmayı durdurmak demek değil. Bugün 150 bin kişinin 2/3’ü yaşlanma sebepli ölüyor. Belki de bu çalışmalarında ardından yaşlanmayı tetikleyen noktalarda bulunabilir. Belki tersine bile çevrilebilir. 90 yaşına gelmeden ölmek yerine bir kaç yüz yılı çok sağlıklı bir şekilde yaşayabiliriz. Ölümsüzlük belki imkansız olabilir. Ancak konforlu ve uzun yaşam mümkün.</p>

<h3>CRISPR-CAS9’un Uzay Seyahatlerine Faydası Ne?</h3>

<p class=""my-3 mx-1"">Ölümsüzlük ya da süper insanların dışında, insanları yerçekimsiz ortamlara uyumlu şekilde gelişecek şekilde gen modifleri yapılabilir. Ya da havasız ortamlarda yaşayabilecek. Kanatları olan, ya da uzun süreler su altında yaşayabilecek insanlarda geliştirebiliriz.</p>

<h3>CRISPR Etik Mi?</h3>

<p class=""my-3 mx-1"">Bu gelişmeler, daha önceki bir çok bilimsel gelişme gibi etik sorulara maruz kalacak. Gen modifi gerçekten etik mi? Genetik bozuklukları ile mutlu olan insanlar ne olacak? Çocuklarımızı özgür iradeleri dışında bizim istediğimiz gibi (İstediğimiz zekaya, saça, göz rengine, boya vs..) dünyaya getirmek doğru mu? Daha sorulacak ve cevaplanacak çok fazla soru var. Benim bireysel görüşüm, insanların bu konuda da ortak akıl ile doğruyu bulabilecekleri yönünde.</p>

<h3>CRISPR’ın Olumsuz Etkileri Ne?</h3>

<p class=""my-3 mx-1"">Şuana kadar yapılan çalışmalar sınırlı olduğu için olumsuz yan etkiler konusunda da yeterli bilgiye sahip değiliz. Ancak yapılan değişimler çok tehlikeli sonuçlar doğurabilir. Gen düzeltmesi esnasında yaşanacak en ufak hata organlarımızın yerlerini bile değiştirebilir. Buna ilave olarak bilmediğimiz bir çok farklı sonuçları da olabilir. Gelecekte hükümetlerin bu konuyu süper askeri ordular ve ölüm mangaları oluşturmak için kullanma ihtimali yüksek. Konu yeni olduğu için bu alanda gerekli yasalar yok. Bu da olumsuz sonuçları olabilecek çalışmaları engelleyecek bir otorite yokluğu demek.</p>

<h3>Sonuç Olarak CRISPR</h3>

<p class=""my-3 mx-1"">Bu kısım tamamen kendi görüşlerim. İnsanlık her yeni teknoloji ile karşılaştığında olduğu gibi bu konuda da başlangıçta direnç gösterecek. Değişimi olumsuz yanları ağırlıkta görecek. Zaman içerisinde, gelişerek faydalarının öne çıkacağına inanıyorum. Nükleer enerji keşfinden kısa bir süre sonra çok büyük bir acı getirdi. Günümüzde ise füzyon ile sınırsız ve temiz enerjinin üretimine fayda sağlıyor. Bu teknoloji de etik değerler ile iç içe geçerek güvenilir ve kullanılabilir, insanların normal karşıladığı bir hal alacak.</p>

<p class=""text-xs"">Kaynak: https://www.youtube.com/user/Kurzgesagt</p>",CRISPR-CAS9.jpg,,,,,,,Article,,,1167,17,0,0,0,draft,,2018-12-06,1,,"2021-08-14 23:00:00","2026-04-23 18:48:51"
4,1,1,1,"Kırmızı Saçlı Kadın | Neden Okumalısın?",kirmizi-sacli-kadin-neden-okumalisin,,"<iframe width=""100%"" height=""400"" src=""https://www.youtube.com/embed/F0Y7FV6peso"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>

<p>Herkese merhaba, Bugün sizlere Orhan Pamuk'tan Kırmızı Saçlı Kadın'ı neden okumalısınız onu anlatmaya çalışacağım. İyi seyirler, iyi okumalar.</p>",kirmizi-sacli-kadin-neden-okumalisin.jpg,,,,,,,Article,,,941,15,0,0,0,draft,,2020-09-21,1,,"2021-08-15 23:00:00","2026-04-23 18:47:48"
5,2,1,1,"Babil'de Ölüm İstanbul'da Aşk Neden Dinlemelisin?",babil-de-olum-i-stanbul-da-ask-neden-dinlemelisin,,"<iframe width=""100%"" height=""400"" src=""https://www.youtube.com/embed/eSle-aBEvVY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>

<p>İskender Pala'dan Babil'de Ölüm İstanbul'da Aşk kitabını dinleyerek sizlerle paylaşmaya çalıştım. Umarım faydalı olmuştur.

<br>Bölümler:
<br>00:00 Kitapların Yaşam Yolculuğu
<br>00:47 Intro
<br>01:02 TRT Dinle Tanıtımı
<br>01:40 Kitabın Girişinden Bir Kuple
<br>02:42 Kitabın Anlatımı
<br>03:25 Yazar İskender Pala
<br>04:33 Kitap Puanı
<br>04:54 Kitaptan Öğrendiğim Bilgi
<br>05:15 Reklam Kokan Hareketler
</p>",babil-de-olum-i-stanbul-da-ask-neden-dinlemelisin.jpg,,,,,,,Article,,,1068,20,0,0,0,draft,,2021-01-25,1,,"2021-08-15 23:00:00","2026-04-23 18:46:04"
6,2,1,1,"30 Days Change Your Habits Neden Dinlemelisin?",marc-reklau-neden-dinlemelisin,,"<iframe width=""100%"" height=""400"" src=""https://www.youtube.com/embed/VyOwJzZxWFA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>

<p>2021 Yılında sizlerle dinlediğim sesli kitapları paylaşıyor olacağım. Bu serinin ilk kitabı Marc Reklau'nun 30 Days Change Your Habits, Change Your Life. İyi dinlemeler.

<br>Bölümler:
<br>00:00 Intro
<br>00:27 Marc Reclau 30 Days Change...
<br>00:43 Fiyat Bilgisi
<br>01:05 İlk Gözlemler
<br>02:35 Örnek Dinleti
<br>03:07 İngilizce Tercih Sebebi
<br>03:24 Kitap Puanı ve Öğrendiğim Bilgi
<br>04:10 Kapanış
<br>04:29 Benzer Videolar
</p>",marc-reklau-neden-dinlemelisin.jpg,,,,,,,Article,,,1098,27,0,0,0,draft,,2021-01-05,1,,"2021-08-15 23:00:00","2026-04-23 18:51:10"
7,2,1,1,"Neden Hedef Belirlemelisin?",neden-hedef-belirlemelisin,,"<iframe width=""100%"" height=""400"" src=""https://www.youtube.com/embed/_2_Re1vnf7U"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
<p>Bu video serisinde sizlerle Neden sorusunu sorarak farkındalık oluşturacağız. Bir şeyleri yap ya da yapma demek yerine neler kazanabiliriz neler kaybedebiliriz bunları sorgulayacağız. İyi seyirler :)

<br>Bölümler
<br>00:00 Intro
<br>00:10 Neden Serisi Tanıtım
<br>01:05 Neden Hedef Belirlemelisin?
<br>02:19 Hedef Belirlemeden Yaşanabilir Mi?
<br>03:02 Akıllı Hedef ve Kriterleri
<br>05:34 2021 Hedeflerim
<br>06:16 NedenBuKitap.com
<br>07:15 Jobinhood.co.uk
<br>07:50 Kitap Yazmak
<br>09:12 mahiryildizhan.com Düzenlemesi
<br>09:41 Kitap Okumak
<br>10:16 İkinci Yabancı Dil
<br>10:50 Son Sözler
</p>",neden-hedef-belirlemelisin.jpg,,,,,,,Article,,,966,18,0,0,0,draft,,2021-01-04,1,,"2021-08-15 23:00:00","2026-04-23 19:59:34"
8,2,1,1,"İngilizce Neden Öğrenmelisin & Kelime Kavanozu",ingilizce-neden-ogrenmelisin-ve-kelime-kavanozu,,"<iframe width=""100%"" height=""400"" src=""https://www.youtube.com/embed/vjRTZRJBKM0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
<p>Bu videoda sizlere İngilizce'nin önemini ve nasıl kolayca öğrenebileceğinizi anlatmaya çalıştım. Umarım faydalı bulursunuz. Abone olarak bana destek olabilir, yorumlarda her türlü sorularınızı sorabilirsiniz. İyi seyirler.

<br>İngilizce öğretmeni bir arkadaşımın kanalı: Fikir Hastası
<br>https://www.youtube.com/channel/UCqt17-JtaqchXgU4fFunz6w
<br>Duolingo Uygulaması
<br><a target=""_blank"" href=""https://invite.duolingo.com/BDHTZTB5CWWKSC2NUW63S73LWQ"">https://invite.duolingo.com/BDHTZTB5CWWKSC2NUW63S73LWQ</a>
</p>",ingilizce-neden-ogrenmelisin-ve-kelime-kavanozu.jpg,,,,,,,Article,,,1044,20,0,0,0,draft,,2019-11-10,1,,"2021-08-15 23:00:00","2026-04-23 18:50:07"
9,2,1,1,"14 Aralık Kitap Çekiliş Sonuçları",14-aralik-kitap-cekilis-sonuclari,,"<iframe width=""100%"" height=""400"" src=""https://www.youtube.com/embed/RMLd8kiqWXU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
<p>Zor Sevdalar Neden Okumalısın? videosunda bahsettiğim kitap çekilişini gerçekleştirdim. Kazanan arkadaşı tebrik ederim. Bir sonraki kitap videosunda yeni çekilişlerle görüşmek üzere. İyi okumalar.</p>",14-aralik-kitap-cekilis-sonuclari.jpg,,,,,,,Article,,,945,15,0,0,0,draft,,2020-12-14,1,,"2021-08-15 23:00:00","2026-04-23 18:45:57"
10,2,1,1,"Zor Sevdalar Neden Okumalısın?",zor-sevdalar-neden-okumalisin,,"<iframe width=""100%"" height=""400"" src=""https://www.youtube.com/embed/2MNyT7K1mtY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
<p>Bugün sizlere Italo Calvino’nun Zor Sevdalar kitabını neden okumalısınız, onu anlatmaya çalıştım. Umarım faydalı olmuştur. İyi okumalar :)</p>",zor-sevdalar-neden-okumalisin.jpg,,,,,,,Article,,,940,15,0,0,0,draft,,2020-12-01,1,,"2021-08-15 23:00:00","2026-04-23 18:47:15"
