id,key,value,group,is_secret,description,created_at,updated_at
1,admin_locale,tr,general,0,"Admin Language","2026-04-20 20:40:46","2026-04-20 20:40:46"
2,ga_tracking_id,admin@mahiryildizhan.com,analytics,0,"GA Tracking ID","2026-04-20 20:40:46","2026-04-22 12:05:10"
3,search_console_verification,,analytics,0,"Search Console Verification","2026-04-20 20:40:46","2026-04-20 20:40:46"
4,crux_api_key,Martoto.97026,analytics,1,"CrUX API Key","2026-04-20 20:40:46","2026-04-22 12:05:10"
5,adsense_client_id,pub-7191986680895282,advertising,0,"AdSense Client ID","2026-04-20 20:40:46","2026-04-22 16:54:08"
6,adsense_slot_id,f08c47fec0942fa0,advertising,0,"AdSense Slot ID","2026-04-20 20:40:46","2026-04-22 16:49:08"
7,site_name,"Mahir Yıldızhan",seo,0,"Site Name","2026-04-20 20:40:46","2026-04-22 12:05:10"
8,default_og_image,https://mahiryildizhan.com/M_Logo.png,seo,0,"Default OG Image","2026-04-20 20:40:46","2026-04-22 12:05:10"
9,default_meta_description,"Mahir Yıldızhan, Kişisel blog sayfası.",seo,0,"Default Meta Description","2026-04-20 20:40:46","2026-04-22 12:05:10"
10,mailchimp_api_key,,mailchimp,1,"Mailchimp API Key","2026-04-20 20:40:46","2026-04-20 20:40:46"
11,mailchimp_list_id,,mailchimp,0,"Mailchimp List ID","2026-04-20 20:40:46","2026-04-20 20:40:46"
12,mailchimp_datacenter,,mailchimp,0,"Mailchimp Datacenter","2026-04-20 20:40:46","2026-04-20 20:40:46"
13,recaptcha_site_key,6LcNc8QsAAAAANsJ1qABD9tZlPMOc3b126_80bVO,recaptcha,0,"reCAPTCHA Site Key","2026-04-20 20:40:46","2026-04-22 12:07:40"
14,recaptcha_secret_key,6LcNc8QsAAAAAAv8BVfN_H7RzQOQhG4DSuLCxyA-,recaptcha,1,"reCAPTCHA Secret Key","2026-04-20 20:40:46","2026-04-22 12:07:40"
15,weather_latitude,,weather,0,"Weather Latitude","2026-04-20 20:40:46","2026-04-20 20:40:46"
16,weather_longitude,,weather,0,"Weather Longitude","2026-04-20 20:40:46","2026-04-20 20:40:46"
17,weather_city_name,,weather,0,"Weather City Name","2026-04-20 20:40:46","2026-04-20 20:40:46"
