"id","adage","owner","keywords","language","created_at","updated_at"
"1","Farkına var, dengeyi bul, değer üret.","Mahir Yıldızhan","Yaşam, Farkındalık","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"2","Kimse senin gözyaşlarını hak etmiyor hak eden seni ağlatmaz zaten.","Gabriel Garcí­a Márquez","Farkındalık","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"3","İnanç, görünmeyene inanmaktır. Görünmeyene inanırsanız, başkalarının görmediklerini görürsünüz.","Anonim","Yaşam, İnanç","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"5","Yıldızlara dokunamazsınız, ama karanlık gecelerde onlar size yol gösterir.","Anonim","Yaşam, Amaç, Hedef","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"6","Hayat bir panayırdır; biraz hüzünlü, biraz neşeli, biraz tehlikeli,biraz cömert, biraz tesadüfi, biraz kırık.","Jacques A. Bertrand","Yaşam","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"8","Gülmek hayatın en güzel eylemidir. Ve her ne varsa sizi bundan alıkoyan, onları yok edin.","Charlie Chaplin","Yaşam, Mutluluk","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"9","İki nimet vardır ki insanların çoğu onlar(ı değerlendirme) hususunda aldanmıştır: Sağlık ve boş vakit.","Hz. Muhammed (s.a.v.) (Buhârî, Rikâk, 1)","zaman, sağlık, farkındalık,","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"10","Son uyku mu? Hayır, ölüm son uyanıştır.","Walter Scott","yaşam, ölüm, uyku, uyanış","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"12","Öyle kolay bir saat değildir uyumak; onun uğruna, bütün gün uyanık durmak gerekir.","Friedrich Nietzsche","uyku, verimlilik, gün, uyanmak","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"13","Uyku sorunu zeki insanların lanetidir.","Albert Einstein","uyku, zeka","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"14","Uyanık bir tek adam, uyuyan yüz bin kişiden daha kuvvetlidir.","Sâdi Carnot","uyku, uyanıklık, aydınlanma, kuvvet","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"16","En güzel uyku bile, uyanılan anın değerine ulaşamaz.","Andre Gide","uyku, uyanmak, değer","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"20","Öldüğüm zaman mezar taşında ""Ücretsiz Wifi"" yazmasını istiyorum; böylece insanlar ziyaretime daha sık gelebilir.","Anonim","Bilinç, Düşünce, Farkındalık, Gelecek, Varoluş, Yaşam, İletişim, İnanç","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"25","Bir fikri kabul etmeden onunla oyalanmak eğitimli bir zihnin işaretidir.","Aristoteles","Bilgelik, Bilinç, Farkındalık","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"27","Sebep, oluşun nedenidir.","Kanada","Neden, Varoluş","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"28","Mutlak bir dinlenme haline çekilemiyorsam, hareketin doğasına zincirlenmiş durumdayım.","Kanada","Farkındalık, Hareket, Yaşam","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"29","Dostun üzüntüsüne acı duyabilirsin. Bu kolaydır; ama dostun başarısına sempati duyabilmek, sağlam bir karakter gerektirir.","Oscar Wilde","Dürüstlük, Fedakarlık, Mutluluk","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"31","Kusur arıyorsan tüm aynalar senin.","Mevlânâ Celâleddîn-i Rûmî","Farkındalık, Mutluluk","1","2022-05-02 20:33:03","2023-03-15 18:00:26"
"32","Herkes aynı şeyi düşünüyorsa, hiç kimse bir şey düşünmüyor demektir.","Walter Lippmann","Farkındalık, Gelişim, Yaşam","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"33","Tanıştığın herkes senin bilmediğin bir şey biliyor.","Bill Nye","Bilgelik, Farkındalık, Merak","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"34","İki kulağımız ve sadece bir ağzımız vardır, o yüzden bir konuşup iki dinlemeliyiz.","Epiktetos","Bilgelik, Farkındalık, İletişim","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"35","Gerçeği söylersen, aklında bir şey tutmana gerek kalmaz.","Mark Twain","Dürüstlük, Mutluluk","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"36","Haklı olmayı mı tercih edersin, mutlu olmayı mı?","Marshall B. Rosenberg","Bilgelik, Mutluluk, İletişim","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
