"id","date","type","seller","description","price","quantity","currency","created_at","updated_at","company_expense","tax","expense_category_id","paid_by_others"
"1","2022-03-28","Market","Coop","Market alışverişi.","19.99","1.00","£",NULL,NULL,NULL,NULL,"1",NULL
"2","2022-03-28","Fuel","BP","6750.7 miles.","1.68","23.17","£",NULL,NULL,NULL,NULL,"2",NULL
"3","2022-05-03","Meal","Ford","Öğle yemeği.","4.75","1.00","£","2022-05-03 12:53:16","2022-05-03 12:53:16",NULL,NULL,"3",NULL
"4","2022-05-02","Meal","BP","Magnum dondurma.","2.50","1.00","£","2022-05-03 12:55:18","2022-05-03 12:55:18",NULL,NULL,"3",NULL
"5","2022-05-02","Fuel","BP","10204.4 miles","1.64","40.71","£","2022-05-03 13:02:00","2022-05-03 13:02:00",NULL,NULL,"2",NULL
"6","2022-05-02","Collection","Sainsbury's","Pokemon TCG V-Deck","15.00","2.00","£","2022-05-03 13:05:35","2022-05-03 13:05:35",NULL,NULL,"4",NULL
"7","2022-05-02","Collection","Sainsbury's","Pokemon TCG Sleeved Booster","4.00","2.00","£","2022-05-03 13:06:30","2022-05-03 13:06:30",NULL,NULL,"4",NULL
"8","2022-05-03","Meal","Kervan","Akşam yemeği.","32.12","1.00","£","2022-05-03 20:12:58","2022-05-03 20:12:58",NULL,NULL,"3",NULL
"9","2022-05-04","Parking","Stratford Centre Carpark","Otel otopark ücreti","7.00","1.00","£","2022-05-04 09:37:04","2022-05-04 09:37:04",NULL,NULL,"5",NULL
"10","2022-05-01","Parking","Stratford Centre Carpark","Otel otopark ücreti","34.60","1.00","£","2022-05-04 09:37:39","2022-05-04 09:37:39",NULL,NULL,"5",NULL
"11","2022-05-04","Meal","Ford","Öğle yemeği.","4.80","1.00","£","2022-05-04 13:02:52","2022-05-04 13:02:52",NULL,NULL,"3",NULL
"12","2022-05-04","Meal","Wagamama","Ayşe ile akşam yemeği","31.95","1.00","£","2022-05-04 20:04:02","2022-05-04 20:04:02",NULL,NULL,"3",NULL
"13","2022-05-04","Meal","Desert","Ayşe ile dondurmalı profiterol","6.87","1.00","£","2022-05-04 20:34:15","2022-05-04 20:34:15",NULL,NULL,"3",NULL
"14","2022-05-05","Transportation","AnyVAN","Kalan eşyaların nakliyesi.","128.00","1.00","£","2022-05-05 09:25:59","2022-05-05 09:25:59",NULL,NULL,"6",NULL
"15","2022-05-05","Meal","Ford","Kahve","1.45","1.00","£","2022-05-05 09:26:34","2022-05-05 09:26:34",NULL,NULL,"3",NULL
"16","2022-05-05","Benefaction","Sena Öztürk","Burs","500.00","1.00","₺","2022-05-05 09:37:20","2022-05-05 09:37:20",NULL,NULL,"7",NULL
"17","2022-05-05","Meal","Ford","Öğle yemeği","5.09","1.00","£","2022-05-05 10:08:48","2022-05-05 10:08:48",NULL,NULL,"3",NULL
"18","2022-05-05","Savings","Mahir Endüstri","Kendi şirketim için altın birikim.","749.97","1.00","₺","2022-05-05 11:10:59","2022-05-05 11:10:59",NULL,NULL,"8",NULL
"19","2022-05-05","Savings","Birikim","Birikim için altın alışı.","2505.97","1.00","₺","2022-05-05 11:11:31","2022-05-05 11:11:31",NULL,NULL,"8",NULL
"20","2022-05-05","Parking","Stratford Centre Carpark","Otel otopark ücreti","7.00","1.00","£","2022-05-05 15:49:39","2022-05-05 15:49:39",NULL,NULL,"5",NULL
"21","2022-05-05","Meal","Pizzeria","Ekiple akşam yemeği.","29.50","1.00","£","2022-05-05 18:02:09","2022-05-05 18:02:09",NULL,NULL,"3",NULL
"22","2022-05-05","Meal","Tavuk Döner","Ayşe street food","6.50","1.00","£","2022-05-05 19:36:19","2022-05-05 19:36:19",NULL,NULL,"3",NULL
"23","2022-05-05","Meal","Milroy's","Viski ve elma prosekosu","17.00","1.00","£","2022-05-05 19:37:14","2022-05-05 19:37:14",NULL,NULL,"3",NULL
"24","2022-05-05","Collection","Amazon","Sweet November filmi satın aldım.","7.99","1.00","£","2022-05-06 05:37:41","2022-05-06 05:37:41",NULL,NULL,"4",NULL
"25","2022-05-05","Market","Tesco","Market alışverişi.","7.05","1.00","£","2022-05-06 05:39:03","2022-05-06 05:39:03",NULL,NULL,"1",NULL
"26","2022-05-09","Collection","Panini","Doctor Who dergisi yıllık üyelik.","96.00","1.00","£","2022-05-09 06:52:14","2022-05-09 06:52:14",NULL,NULL,"4",NULL
"27","2022-05-09","Market","Salı Pazarı","Tıraş Makinesi","12.50","1.00","₺","2022-05-09 14:32:00","2022-05-09 14:32:00",NULL,NULL,"1",NULL
"28","2022-05-09","Market","Şok","Market alışverişi.","26.85","1.00","₺","2022-05-09 14:35:00","2022-05-09 14:35:00",NULL,NULL,"1",NULL
"29","2022-05-09","Meal","Yakamoz Tantuni","Akşam yemeği yoğurtlu tantuni ve ayran.","36.00","1.00","₺","2022-05-09 15:49:18","2022-05-09 15:49:18",NULL,NULL,"3",NULL
"30","2022-05-10","Meal","Ramada","Yeşim ile akşam yemeği.","244.00","1.00","₺","2022-05-11 17:40:58","2022-05-11 17:40:58",NULL,NULL,"3",NULL
"31","2022-05-11","Health","Eczane","Grip ilaçları.","44.00","1.00","₺","2022-05-11 17:41:22","2022-05-11 17:41:22",NULL,NULL,"9",NULL
"32","2022-05-11","Meal","Köfteci Yusuf","Melike ile akşam yemeği.","83.00","1.00","₺","2022-05-11 18:33:40","2022-05-11 18:33:40",NULL,NULL,"3",NULL
"33","2022-05-10","Alcohol","262 Live","Yeşim ve Kerem ile eğlence.","37.00","3.00","₺","2022-05-11 18:34:10","2022-05-11 18:34:10",NULL,NULL,"10",NULL
"34","2022-05-13","Health","Bünyamin İrak","Mahir seans ücreti.","402.44","1.00","₺","2022-05-13 13:13:01","2022-05-13 13:13:01",NULL,NULL,"9",NULL
"35","2022-05-13","Coffee","Starbucks","Amerikano","20.50","1.00","₺","2022-05-13 13:14:38","2022-05-13 13:14:38",NULL,NULL,"11",NULL
"36","2022-05-13","Market","Migros","Market alışverişi.","38.90","1.00","₺","2022-05-13 13:15:04","2022-05-13 13:15:04",NULL,NULL,"1",NULL
"37","2022-05-13","Meal","Burger King","Emre ile yemek.","120.00","1.00","₺","2022-05-13 15:43:18","2022-05-13 15:43:18",NULL,NULL,"3",NULL
