"id","date","source","amount","currency","type","description","user_id","created_at","updated_at"
"1","2025-06-28","QNB","39.33","₺","Interest","Günlük faiz.","1","2025-06-27 10:44:46","2025-06-29 06:57:25"
"2","2025-06-24","Datafili","29000.00","₺","Salary","58 saatlik çalışma karşılığı ücret.","1","2025-06-27 10:49:30","2025-08-24 10:58:40"
"4","2025-01-26","EnPara","162.74","₺","Interest","Günlük faiz.","1","2025-06-27 10:53:22","2025-06-27 10:53:22"
"5","2025-06-10","Ford Otosan","10047.60","₺","Salary","Dans eğitmenlik ücreti.","1","2025-06-27 10:54:01","2025-06-27 10:54:01"
"6","2025-06-26","QNB","17.62","₺","Interest","Günlük faiz.","1","2025-06-27 13:35:13","2025-06-27 13:36:06"
"7","2025-06-25","QNB","20.38","₺","Interest","Günlük faiz.","1","2025-06-27 13:36:11","2025-06-27 13:36:46"
"8","2025-06-27","QNB","9.43","₺","Interest","Günlük faiz.","1","2025-06-27 13:39:35","2025-06-27 13:39:35"
"9","2025-06-24","QNB","2.13","₺","Interest","Günlük faiz.","1","2025-06-27 13:39:38","2025-06-29 06:58:08"
"10","2025-06-22","QNB","2.08","₺","Interest","Günlük faiz.","1","2025-06-29 06:56:46","2025-06-29 06:59:18"
"11","2025-06-23","QNB","2.10","₺","Interest","Günlük faiz.","1","2025-06-29 06:58:37","2025-06-29 06:58:57"
"12","2025-06-21","QNB","2.08","₺","Interest","Günlük faiz.","1","2025-06-29 06:59:00","2025-06-29 06:59:38"
"13","2025-06-16","QNB","12.94","₺","Interest","Günlük faiz.","1","2025-06-29 06:59:20","2025-06-29 07:00:45"
"14","2025-06-20","QNB","2.07","₺","Interest","Günlük faiz.","1","2025-06-29 06:59:41","2025-06-29 06:59:58"
"15","2025-06-15","QNB","12.93","₺","Interest","Günlük faiz.","1","2025-06-29 07:00:01","2025-06-29 07:01:00"
"16","2025-06-14","QNB","12.92","₺","Interest","Günlük faiz.","1","2025-06-29 07:00:46","2025-06-29 07:01:21"
"17","2025-06-29","QNB","39.36","₺","Interest","Günlük faiz.","1","2025-06-29 07:01:02","2025-06-29 07:01:02"
"18","2025-06-13","QNB","12.67","₺","Interest","Günlük faiz.","1","2025-06-29 07:01:27","2025-06-29 07:01:42"
"19","2025-06-12","QNB","12.66","₺","Interest","Günlük faiz.","1","2025-06-29 07:01:44","2025-06-29 07:02:02"
"20","2025-06-11","QNB","12.66","₺","Interest","Günlük faiz.","1","2025-06-29 07:02:09","2025-06-29 07:02:27"
"21","2025-06-10","QNB","4.40","₺","Interest","Günlük faiz.","1","2025-06-29 07:02:28","2025-06-29 07:02:45"
"22","2025-06-09","QNB","4.39","₺","Interest","Günlük faiz.","1","2025-06-29 07:02:47","2025-06-29 07:03:05"
"23","2025-06-08","QNB","4.39","₺","Interest","Günlük faiz.","1","2025-06-29 07:03:21","2025-06-29 07:03:33"
"24","2025-06-07","QNB","4.39","₺","Interest","Günlük faiz.","1","2025-06-29 07:03:35","2025-06-29 07:03:50"
"25","2025-06-06","QNB","4.39","₺","Interest","Günlük faiz.","1","2025-06-29 07:03:53","2025-06-29 07:04:09"
"26","2025-06-05","QNB","4.41","₺","Interest","Günlük faiz.","1","2025-06-29 07:04:11","2025-06-29 07:04:23"
"27","2025-06-04","QNB","4.48","₺","Interest","Günlük faiz.","1","2025-06-29 07:04:25","2025-06-29 07:04:38"
"28","2025-06-03","QNB","7.00","₺","Interest","Günlük faiz.","1","2025-06-29 07:04:40","2025-06-29 07:04:54"
"29","2025-06-02","QNB","10.76","₺","Interest","Günlük faiz.","1","2025-06-29 07:04:56","2025-06-29 07:05:10"
"30","2025-06-01","QNB","6.98","₺","Interest","Günlük faiz.","1","2025-06-29 07:05:11","2025-06-29 07:05:24"
"31","2025-01-27","Babam","2600.00","₺","Wage","At çiftliğine anahtar priz lamba montajı.","1","2025-06-29 13:37:16","2025-06-29 13:37:16"
"32","2025-03-10","Ford Otosan","10000.00","₺","Salary","Şubat ayı tango ders ücreti.","1","2025-06-29 13:38:26","2025-06-29 13:38:26"
"33","2025-03-23","Babam","2000.00","₺","Wage","Günlük elektrikçilik yevmiyesi.","1","2025-06-29 13:39:35","2025-06-29 13:39:35"
"34","2025-03-27","Babam","10000.00","₺","Wage","Çiftlikte yaptığımız pano işinden 2 günlük yevmiye.","1","2025-06-29 13:40:16","2025-06-29 13:40:16"
"35","2025-03-30","Babam","1500.00","₺","Wage","Topraklama lamasını döşemek için yevmiye.","1","2025-06-29 13:42:24","2025-06-29 13:42:24"
"36","2025-04-10","Ford Otosan","10000.00","₺","Salary","Tango ders ücreti.","1","2025-06-29 13:43:08","2025-06-29 13:43:08"
"37","2025-04-15","Babam","17500.00","₺","Wage","Yasin İnciel 2 katlı bina tesisat işleri.","1","2025-06-29 13:46:03","2025-06-29 13:46:03"
"38","2025-04-19","Babam","3500.00","₺","Wage","2 anten ayarı, Faruk kablo çekim.","1","2025-06-29 13:48:46","2025-06-29 13:48:46"
"39","2025-04-30","Şevval Seyahat","2350.00","₺","Material Profit","Malzeme Kârı","1","2025-06-29 14:31:10","2025-06-29 14:31:10"
"40","2025-05-10","Ford Otosan","10008.15","₺","Salary","Nisan ayı tango ders ücreti.","1","2025-06-29 14:32:24","2025-06-29 14:32:24"
"42","2025-05-11","Babam","3250.00","₺","Wage","2 adet sayaç takma yevmiyesi","1","2025-06-29 14:40:20","2025-06-29 14:40:20"
"43","2025-05-12","Babam","17500.00","₺","Wage","Babam'la Haluk Cançeker villasındaki yevmiye","1","2025-06-29 14:41:15","2025-06-29 14:41:15"
"44","2025-06-30","QNB","36.95","₺","Interest","Günlük faiz.","1","2025-07-01 10:39:10","2025-07-01 10:39:54"
"45","2025-07-05","Babam","2500.00","₺","Wage","Boru atma işi yevmiyesi","1","2025-07-05 18:56:44","2025-07-05 18:57:26"
"46","2025-07-05","QNB","13.32","₺","Interest","Günlük faiz.","1","2025-07-05 19:01:03","2025-07-05 19:01:24"
"47","2025-07-04","QNB","13.50","₺","Interest","Günlük faiz.","1","2025-07-05 19:01:40","2025-07-05 19:01:56"
"48","2025-07-10","Ford Otosan","10000.00","₺","Salary","Dans eğitmenlik ücreti.","1","2025-07-10 14:57:45","2025-07-10 14:57:57"
"49","2025-07-14","Fahri Çelebi","5500.00","₺","Project","Fahri için yaptığım rezervasyon sisteminin parası.","1","2025-07-14 11:55:24","2025-07-14 11:55:24"
"50","2025-07-13","Babam","2000.00","₺","Wage","Babamla 2 sayaç yeri değiştirme ücreti.","1","2025-07-14 11:56:06","2025-07-14 11:56:06"
"51","2025-07-16","Babam","3500.00","₺","Wage","Babamla TinyHouse'larda elektrik işi.","1","2025-07-16 14:44:03","2025-07-16 14:44:03"
"52","2025-07-16","Datafili","26000.00","₺","Salary","52 Saatlik Datafili çalışması.","1","2025-07-16 14:44:48","2025-08-24 10:57:53"
"53","2025-07-16","EnPara","21.93","₺","Interest","Günlük faiz.","1","2025-07-16 14:46:43","2025-07-16 16:06:09"
"54","2025-07-15","EnPara","21.91","₺","Interest","Günlük faiz.","1","2025-07-16 16:06:23","2025-07-16 16:06:32"
"55","2025-07-14","EnPara","17.55","₺","Interest","Günlük faiz.","1","2025-07-16 16:06:38","2025-07-16 16:07:15"
"56","2025-07-16","A101","460.00","₺","Other","Madeni para bütünletme.","1","2025-07-16 16:08:42","2025-07-16 16:08:42"
"57","2025-07-21","Babam","2000.00","₺","Wage","Yapı denetimli bina boru atma işi.","1","2025-07-21 13:42:47","2025-07-21 13:42:47"
"58","2025-07-21","EnPara","19.86","₺","Interest","Günlük faiz.","1","2025-07-21 13:44:13","2025-07-21 13:44:28"
"59","2025-07-20","EnPara","19.84","₺","Interest","Günlük faiz.","1","2025-07-21 13:44:31","2025-07-21 13:44:53"
"60","2025-07-19","EnPara","19.83","₺","Interest","Günlük faiz.","1","2025-07-21 13:44:55","2025-07-21 13:45:22"
