"id","node_from_id","node_to_id","created_at","updated_at"
"1","1","2",NULL,NULL
"2","1","3",NULL,NULL
"3","1","4",NULL,NULL
"4","1","5",NULL,NULL
"5","2","6","2025-06-21 19:50:53","2025-06-21 19:50:53"
"6","2","7","2025-06-21 19:52:00","2025-06-21 19:52:00"
"7","2","8","2025-06-21 19:52:05","2025-06-21 19:52:05"
"8","5","8","2025-06-21 19:52:12","2025-06-21 19:52:12"
"9","2","9","2025-06-21 19:53:55","2025-06-21 19:53:55"
"10","3","10","2025-06-21 19:54:18","2025-06-21 19:54:18"
"11","10","9","2025-06-21 19:54:27","2025-06-21 19:54:27"
"12","2","11","2025-06-21 19:55:03","2025-06-21 19:55:03"
"13","2","12","2025-06-21 19:55:27","2025-06-21 19:55:27"
"14","3","13","2025-06-21 19:55:56","2025-06-21 19:55:56"
"15","13","7","2025-06-21 19:56:06","2025-06-21 19:56:06"
"16","13","6","2025-06-21 19:56:15","2025-06-21 19:56:15"
"17","4","14","2025-06-21 19:57:02","2025-06-21 19:57:02"
"18","4","15","2025-06-21 19:57:31","2025-06-21 19:57:31"
"19","13","16","2025-06-21 19:58:00","2025-06-21 19:58:00"
"20","13","17","2025-06-21 19:58:18","2025-06-21 19:58:18"
"21","6","17","2025-06-21 19:58:27","2025-06-21 19:58:27"
"22","13","18","2025-06-21 19:58:47","2025-06-21 19:58:47"
"23","18","7","2025-06-21 19:58:55","2025-06-21 19:58:55"
"24","5","19","2025-06-21 19:59:41","2025-06-21 19:59:41"
"25","19","8","2025-06-21 20:00:00","2025-06-21 20:00:00"
"26","4","20","2025-06-21 20:01:04","2025-06-21 20:01:04"
"27","4","21","2025-06-21 20:01:12","2025-06-21 20:01:12"
"28","4","22","2025-06-21 20:01:18","2025-06-21 20:01:18"
"29","4","23","2025-06-21 20:01:25","2025-06-21 20:01:25"
"30","23","5","2025-06-21 20:01:32","2025-06-21 20:01:32"
"31","4","24","2025-06-21 20:02:05","2025-06-21 20:02:05"
"32","24","13","2025-06-21 20:02:12","2025-06-21 20:02:12"
"33","24","5","2025-06-21 20:02:21","2025-06-21 20:02:21"
"34","1","25","2025-07-07 10:40:12","2025-07-07 10:40:12"
"35","25","26","2025-07-07 10:40:50","2025-07-07 10:40:50"
"36","25","27","2025-07-07 10:40:57","2025-07-07 10:40:57"
"37","26","27","2025-07-07 10:41:03","2025-07-07 10:41:03"
"38","27","10","2025-07-07 10:41:33","2025-07-07 10:41:33"
"39","28","29","2025-07-11 10:27:39","2025-07-11 10:27:39"
"40","25","28","2025-07-11 10:29:52","2025-07-11 10:29:52"
"41","1","28","2025-07-11 10:30:00","2025-07-11 10:30:00"
"42","1","30","2025-07-29 15:41:20","2025-07-29 15:41:20"
"43","2","37","2025-08-21 11:22:43","2025-08-21 11:22:43"
