"id","name","text_size","text_color","image","created_at","updated_at"
"1","Mahir Yıldızhan","11","#3491e3","1697460610.jpg","2025-06-21 19:49:02","2025-06-21 19:49:02"
"2","Hobiler","9","#34e3bd",NULL,"2025-06-21 19:49:02","2025-06-21 19:49:02"
"3","Sağlık","9","#9ae334",NULL,"2025-06-21 19:49:02","2025-06-21 19:49:02"
"4","Değerler","9","#6e34e3",NULL,"2025-06-21 19:49:02","2025-06-21 19:49:02"
"5","Para","9","#e33434",NULL,"2025-06-21 19:49:02","2025-06-21 19:49:02"
"6","Tango","7","#ff0000",NULL,"2025-06-21 19:50:44","2025-06-21 19:50:44"
"7","Tenis","7","#ffffff",NULL,"2025-06-21 19:51:39","2025-06-21 19:51:39"
"8","Yazılım","7","#ffffff",NULL,"2025-06-21 19:51:50","2025-06-21 19:51:50"
"9","Satranç","7","#ffffff",NULL,"2025-06-21 19:53:43","2025-06-21 19:53:43"
"10","Mental Sağlık","7","#ffffff",NULL,"2025-06-21 19:54:11","2025-06-21 19:54:11"
"11","Tüplü Dalış","7","#ffffff",NULL,"2025-06-21 19:54:55","2025-06-21 19:54:55"
"12","Felsefe","7","#ffffff",NULL,"2025-06-21 19:55:20","2025-06-21 19:55:20"
"13","Fiziksel Sağlık","7","#ffffff",NULL,"2025-06-21 19:55:49","2025-06-21 19:55:49"
"14","Aile","7","#ffffff",NULL,"2025-06-21 19:56:54","2025-06-21 19:56:54"
"15","Sağlıklı Olmak","7","#ffffff",NULL,"2025-06-21 19:57:20","2025-06-21 19:57:20"
"16","Göz Sağlığı","7","#ffffff",NULL,"2025-06-21 19:57:50","2025-06-21 19:57:50"
"17","Kalp Sağlığı","7","#ffffff",NULL,"2025-06-21 19:58:10","2025-06-21 19:58:10"
"18","Kas/İskelet Sağlığı","7","#ffffff",NULL,"2025-06-21 19:58:39","2025-06-21 19:58:39"
"19","MY Teknoloji","9","#1c9ad9",NULL,"2025-06-21 19:59:30","2025-06-21 19:59:30"
"20","Saygı","7","#ffffff",NULL,"2025-06-21 20:00:39","2025-06-21 20:00:39"
"21","Dürüstlük","7","#ffffff",NULL,"2025-06-21 20:00:45","2025-06-21 20:00:45"
"22","Adalet","7","#ffffff",NULL,"2025-06-21 20:00:50","2025-06-21 20:00:50"
"23","Özgürlük","7","#ffffff",NULL,"2025-06-21 20:00:55","2025-06-21 20:00:55"
"24","Güçlü Olmak","7","#ffffff",NULL,"2025-06-21 20:01:53","2025-06-21 20:01:53"
"25","Eğitim","9","#ff0000",NULL,"2025-07-07 10:40:01","2025-07-07 10:40:01"
"26","ALES (75+)","7","#ffffff",NULL,"2025-07-07 10:40:29","2025-07-26 12:46:24"
"27","Mühendislik Tamamlama Programı","8","#ffffff",NULL,"2025-07-07 10:40:41","2025-07-07 10:40:41"
"28","Yetkinlikler","7","#ffffff",NULL,"2025-07-11 10:26:17","2025-07-11 10:26:17"
"29","Etkili ve Hızlı Okuma","7","#ffffff",NULL,"2025-07-11 10:26:48","2025-07-11 10:26:48"
"30","Hedefler","9","#ff3a30",NULL,"2025-07-29 15:40:00","2025-07-29 15:40:00"
"31","Tüm Vücut Lazer Epilasyon Yaptır.","7","#ffffff",NULL,"2025-07-29 15:42:49","2025-07-29 15:42:49"
"32","A Motor Ehliyeti Al.","7","#ffffff",NULL,"2025-07-29 15:43:12","2025-07-29 15:43:12"
"33","Limon Dövmesi Yaptır.","7","#ffffff",NULL,"2025-07-29 15:43:49","2025-07-29 15:43:49"
"34","Mühendislik Tamamlama Programını Tamamla.","7","#ffffff",NULL,"2025-07-29 15:44:43","2025-07-29 15:44:43"
"35","Kol ve Boynunu Kaplayan Dövme Yaptır.","7","#ffffff",NULL,"2025-07-29 15:45:33","2025-07-29 15:45:33"
"36","Tango Antrenörlük 2. Seviye Belgesi Al.","7","#ffffff",NULL,"2025-07-29 15:46:34","2025-07-29 15:46:34"
"37","Fotoğrafçılık","7","#ff9500",NULL,"2025-08-21 11:22:30","2025-08-21 11:22:30"
