id,name,created_at,updated_at
1,"Tek Seferlik","2026-04-02 01:39:31","2026-04-02 01:39:31"
2,Duzensiz,"2026-04-02 01:39:31","2026-04-02 01:39:31"
3,Duzenli,"2026-04-02 01:39:31","2026-04-02 01:39:31"
4,Interest,"2026-04-02 01:39:33","2026-04-02 01:39:33"
5,Salary,"2026-04-02 01:39:33","2026-04-02 01:39:33"
6,Wage,"2026-04-02 01:39:34","2026-04-02 01:39:34"
7,"Material Profit","2026-04-02 01:39:34","2026-04-02 01:39:34"
8,Project,"2026-04-02 01:39:34","2026-04-02 01:39:34"
9,Other,"2026-04-02 01:39:34","2026-04-02 01:39:34"
10,Material,"2026-04-02 01:39:34","2026-04-02 01:39:34"
11,Domain,"2026-04-02 01:39:34","2026-04-02 01:39:34"
12,Hosting,"2026-04-02 01:39:34","2026-04-02 01:39:34"
13,Refund,"2026-04-02 01:39:34","2026-04-02 01:39:34"
14,Materiel,"2026-04-02 01:39:34","2026-04-02 01:39:34"
15,Reinbursment,"2026-04-02 01:39:34","2026-04-02 01:39:34"
16,TV,"2026-04-02 01:39:34","2026-04-02 01:39:34"
17,KDV,"2026-04-02 01:39:34","2026-04-02 01:39:34"
19,Reimbursement,"2026-04-02 01:39:34","2026-04-02 01:39:34"
20,Saving,"2026-04-02 01:39:34","2026-04-02 01:39:34"
21,Harçlık,"2026-04-02 01:39:34","2026-04-02 01:39:34"
22,Savings,"2026-04-02 01:39:34","2026-04-02 01:39:34"
23,"Web Development","2026-04-04 22:32:04","2026-04-04 22:32:04"
24,"Electrician Wage","2026-04-07 15:23:41","2026-04-07 15:23:41"
25,"Tango Training","2026-04-07 15:32:02","2026-04-07 15:32:02"
